DATA;OPEN;HIGH;LOW;CLOSE;Pontos;Tot_Pontos;TARGET;SD_Close_5_N;SD_Close_8_N;SD_Close_10_N;SD_Close_13_N;SD_Close_15;SD_Close_20_N;Range_High_N;Range_Low_N;CRTDR_N;COUNT_HiLo_N;CTDRSUMLAST10_N;HIGHtoCLOSESUMLAST10_N;LOWtoCLOSESUMLAST10_N
29/01/2009;40229;40229;39369;39638;500;-336;1;0.238779844;0.225446452;0.187584676;0.156042423;0.199227766;0.317861228;0.154640051;0.890186404;0.312790698;0.166666667;0.49746283;0.567425283;0.336789817
30/01/2009;39637;40273;39185;39301;-630;-630;0;0.189513672;0.182702861;0.186651584;0.151221841;0.121897179;0.315535909;0.256512716;0.95223938;0.106617647;0.333333333;0.422711347;0.609910539;0.40821847
02/02/2009;39296;39364;38453;38666;500;1082;1;0.177380838;0.181002816;0.186346354;0.142300216;0.117508879;0.294345217;0.187228696;0.910861376;0.233809001;0.5;0.436511012;0.605608478;0.398623474
03/02/2009;38665;39765;38655;39747;500;383;1;0.153620215;0.163361798;0.156805397;0.153711851;0.122048603;0.237931783;0.004696933;0.55543645;0.983783784;0.166666667;0.593127125;0.399927306;0.279457221
04/02/2009;39746;41490;39746;40129;500;989;1;0.144913735;0.150846206;0.177309034;0.172956128;0.132275639;0.225961323;0.351759652;0.845561347;0.219610092;0.333333333;0.468890848;0.537850666;0.380304448
05/02/2009;40120;41373;39791;41109;500;1646;1;0.254281873;0.190241964;0.206100722;0.227674153;0.181631285;0.19504063;0.066605984;0.48120705;0.83312263;0.5;0.537542601;0.461908322;0.314382598
06/02/2009;41110;42873;41110;42756;500;-655;1;0.441507298;0.313551967;0.311780266;0.306607429;0.290988905;0.245509665;0.028381479;0.377056971;0.933635848;0.666666667;0.570848345;0.416726979;0.30528415
09/02/2009;42755;43441;41977;42100;500;-894;1;0.361094195;0.361245876;0.332982524;0.347828218;0.339252055;0.295204999;0.330364154;0.952724233;0.084016393;0.166666667;0.496755134;0.487546055;0.368978199
10/02/2009;42101;42819;40960;41207;500;-361;1;0.281040533;0.356517034;0.308299354;0.329651421;0.317645531;0.31397315;0.405732947;0.903006747;0.132867133;0.333333333;0.444776659;0.61237458;0.374025611
11/02/2009;41207;42032;40286;40846;-326;-326;0;0.219071707;0.326762954;0.30856902;0.300193181;0.312528427;0.310006497;0.301148977;0.778152744;0.320733104;0.5;0.35601074;0.709123135;0.478775634
12/02/2009;40827;41082;39992;40501;500;1162;1;0.257861925;0.240059933;0.297181595;0.270717832;0.281380011;0.312950129;0.148784134;0.79663903;0.466972477;0.666666667;0.380556125;0.706827057;0.453700052
13/02/2009;40512;41833;40512;41674;169;169;0;0.171080796;0.20168394;0.280550517;0.252588347;0.263824475;0.333505847;0.039571105;0.548813072;0.879636639;0.166666667;0.503618968;0.621765237;0.345560728
16/02/2009;41672;41841;41026;41841;-1991;-1991;0;0.147458359;0.166018061;0.205998961;0.264371068;0.248880701;0.348973362;0;0.68481095;1;0.333333333;0.625594811;0.548353717;0.284967406
17/02/2009;41838;41838;39817;39847;500;-174;1;0.228085031;0.223613124;0.201145951;0.260238814;0.222670821;0.30723802;0.518229183;0.987817366;0.014844137;0.166666667;0.47134185;0.749707377;0.400868077
18/02/2009;39848;40434;39209;39674;500;55;1;0.281862589;0.215402048;0.220749611;0.250618655;0.229233452;0.293918806;0.198679857;0.810345771;0.379591837;0.333333333;0.496810576;0.689685486;0.391428463
19/02/2009;39675;40433;39630;39730;-1010;-1010;0;0.309932878;0.20447525;0.249261933;0.213101639;0.227744075;0.262607787;0.183519829;0.959271632;0.124533001;0.166666667;0.384004738;0.735526872;0.519574743
20/02/2009;39725;39725;38103;38715;-480;-480;0;0.322283146;0.261121191;0.258683485;0.248877155;0.243674934;0.248627027;0.270575423;0.744207547;0.377311961;0.166666667;0.295439256;0.830490016;0.617990276
25/02/2009;38712;38933;37694;38232;500;-54;1;0.196407775;0.319404358;0.285739329;0.303960363;0.258706714;0.255553964;0.190167911;0.772295913;0.434221146;0.333333333;0.351191047;0.775519707;0.569626061
26/02/2009;38234;39219;38180;38180;500;5;1;0.206407408;0.356964028;0.315070301;0.34686281;0.295339055;0.267624266;0.282244741;1;0;0.5;0.330038905;0.727100543;0.59562532
27/02/2009;38178;38801;37324;38183;-1945;-1945;0;0.179577078;0.313841286;0.332605641;0.329259311;0.328551408;0.291906844;0.167866743;0.635968735;0.581584292;0.166666667;0.371565814;0.674841185;0.557512578
02/03/2009;38180;38180;36196;36235;500;232;1;0.268021359;0.297682944;0.427998146;0.389245359;0.416499945;0.370865963;0.556720964;0.98258386;0.019657258;0.166666667;0.300354261;0.834791361;0.607355505
03/03/2009;36236;37085;35722;36468;500;1934;1;0.283767383;0.32286318;0.418120235;0.427694459;0.427658534;0.425594684;0.175476698;0.668988982;0.547322084;0.166666667;0.247450549;0.888079327;0.639568927
04/03/2009;36468;38554;36468;38402;-1022;-1022;0;0.294099497;0.283442479;0.299187661;0.411882394;0.393566966;0.428656997;0.041052157;0.185073962;0.927133269;0.333333333;0.235850333;0.904175691;0.50561331
05/03/2009;38391;38391;36973;37369;500;-262;1;0.272471684;0.221449239;0.275348796;0.411753023;0.389027963;0.453640702;0.283651873;0.828525606;0.279266573;0.166666667;0.277945776;0.812198994;0.462914798
06/03/2009;37367;38309;36476;37105;-362;-362;0;0.235508081;0.200582212;0.246111836;0.361782155;0.387233837;0.479008041;0.336542787;0.725694966;0.343153301;0.333333333;0.272144845;0.866254422;0.44022396
09/03/2009;37103;37464;36392;36741;500;2050;1;0.203466096;0.196485714;0.195174665;0.272353819;0.390090344;0.496372594;0.204095562;0.846294283;0.325559701;0.5;0.304147833;0.874322073;0.409940129
10/03/2009;36745;38804;36745;38795;500;10;1;0.242393806;0.227245114;0.198557507;0.245089706;0.32560619;0.442217587;0.002406096;0.144945744;0.995628946;0.166666667;0.402582473;0.7691741;0.249306663
11/03/2009;38795;39310;38238;38805;346;346;0;0.271058671;0.253416551;0.216549877;0.220845325;0.230096059;0.39759006;0.13497394;0.76356545;0.52891791;0.333333333;0.41765798;0.747532795;0.246966443
12/03/2009;38806;39304;38286;39152;500;-137;1;0.311882123;0.255789242;0.246695286;0.199980862;0.213174939;0.370736197;0.040265757;0.642085323;0.850687623;0.5;0.553085491;0.652653935;0.151026614
13/03/2009;39152;39707;38580;39015;500;-411;1;0.277924249;0.227959096;0.266681462;0.207011985;0.197656377;0.348564503;0.183958864;0.819584763;0.385980479;0.166666667;0.521945814;0.658963583;0.200245301
16/03/2009;39018;39713;38467;38607;500;903;1;0.04385944;0.230702692;0.231130233;0.211472595;0.171973936;0.330552706;0.29712234;0.941321697;0.112359551;0.333333333;0.536703806;0.557176143;0.189184886
17/03/2009;38608;39511;38080;39511;500;634;1;0.083550976;0.240158456;0.210465051;0.237216027;0.189704056;0.279287251;0;0.413946613;1;0.166666667;0.608769088;0.488372528;0.120820208
18/03/2009;39508;40551;38850;40142;500;307;1;0.153188346;0.236121621;0.255777957;0.278797895;0.227869733;0.22215646;0.105674582;0.479190287;0.759553204;0.333333333;0.582090727;0.513710687;0.199658747
19/03/2009;40146;41137;40146;40453;500;-377;1;0.209162439;0.149338683;0.275910189;0.278896025;0.267870899;0.23669519;0.175368506;0.877198631;0.309788093;0.5;0.586949683;0.471253271;0.21270566
20/03/2009;40453;41053;40076;40076;500;2362;1;0.197891681;0.152785338;0.242669039;0.252573563;0.289097757;0.244395542;0.2528462;1;0;0.166666667;0.532320468;0.43843622;0.286233738
23/03/2009;40077;42509;40077;42439;-963;-963;0;0.316006872;0.296432611;0.271492743;0.357918449;0.346800773;0.32847722;0.017107208;0.099403366;0.971217105;0.166666667;0.63510764;0.365118937;0.086027958
24/03/2009;42439;42439;41476;41476;500;321;1;0.284882054;0.315010171;0.293120493;0.36868078;0.342435776;0.369850416;0.240810632;1;0;0.166666667;0.476605804;0.458596271;0.315227162
25/03/2009;41478;42623;41114;41799;500;788;1;0.270912818;0.316613941;0.307163386;0.358823965;0.37591544;0.410751641;0.204459623;0.734820317;0.453943009;0.166666667;0.464669972;0.485841291;0.307521965
26/03/2009;41801;42680;41801;42589;-682;-682;0;0.280404544;0.28851505;0.342425995;0.327934759;0.399038853;0.46400962;0.022161042;0.700605138;0.896473265;0.333333333;0.471958941;0.478742515;0.323208332
27/03/2009;42589;42589;41586;41907;-1256;-1256;0;0.118633763;0.244164638;0.322593551;0.328522999;0.374200016;0.488908137;0.16878896;0.876053568;0.32003988;0.166666667;0.461461349;0.472794465;0.338344922
30/03/2009;41909;41909;40351;40653;500;265;1;0.191157339;0.223159723;0.24826383;0.303160273;0.294204969;0.449999197;0.320437456;0.879792958;0.193838254;0.333333333;0.474432571;0.481936216;0.321852006
31/03/2009;40661;41610;40661;40926;500;1058;1;0.214805376;0.207138342;0.205082408;0.282817997;0.275909189;0.409284022;0.173341694;0.895223921;0.279241307;0.166666667;0.359689447;0.549902706;0.450859464
01/04/2009;40918;42005;40256;41976;500;1759;1;0.219725053;0.150583578;0.186824295;0.262523967;0.265100122;0.419502507;0.007165445;0.336955062;0.983419097;0.333333333;0.395328382;0.511277721;0.412732994
02/04/2009;41977;44286;41977;43736;500;653;1;0.34214928;0.232124646;0.241657507;0.26339038;0.304788904;0.443889215;0.130427709;0.349207789;0.761801646;0.5;0.467287898;0.493656639;0.271203869
03/04/2009;43738;44610;43520;44391;-218;-218;0;0.478850856;0.322380829;0.273946159;0.300263643;0.341793406;0.461387224;0.051167644;0.682503608;0.799082569;0.666666667;0.594500004;0.414579394;0.186098251
06/04/2009;44385;44385;43429;44167;-338;-338;0;0.433058821;0.363490185;0.319464082;0.318764316;0.328699932;0.435436424;0.051192322;0.729620333;0.771966527;0.166666667;0.56277977;0.427944012;0.355029318
07/04/2009;44163;44471;43593;43825;500;354;1;0.265962117;0.38332307;0.329027841;0.316699728;0.315378619;0.442447816;0.152882167;0.914339298;0.264236902;0.333333333;0.604845677;0.393467661;0.332067775
08/04/2009;43828;44390;43706;44182;500;1356;1;0.061857313;0.395584284;0.344111577;0.292557971;0.314834267;0.446164709;0.048827467;0.825667985;0.695906433;0.166666667;0.643365697;0.332445001;0.356419696
09/04/2009;44183;45702;44183;45539;500;456;1;0.17687809;0.370593083;0.410807443;0.357380822;0.350235871;0.481467442;0.037123623;0.518172295;0.892692561;0.333333333;0.642763817;0.33831176;0.307518165
13/04/2009;45536;46179;45226;45992;500;-571;1;0.26716903;0.302029154;0.457324936;0.403955699;0.364572465;0.50797982;0.042170189;0.730497969;0.803777545;0.5;0.71977374;0.288665116;0.268501661
14/04/2009;45989;46591;45284;45418;-147;-147;0;0.259912742;0.202997218;0.390544041;0.417095371;0.393027729;0.486788873;0.267865167;0.952258907;0.102524866;0.166666667;0.705236859;0.268051761;0.28792632
15/04/2009;45420;45453;44811;45273;500;748;1;0.180872868;0.184567541;0.275996324;0.429483563;0.393453018;0.471525266;0.041236279;0.834872932;0.719626168;0.333333333;0.775345115;0.216253828;0.271749103
16/04/2009;45277;46211;45277;46025;-240;-240;0;0.082523209;0.204845991;0.194214053;0.43581736;0.40714124;0.475984706;0.041914605;0.737019608;0.800856531;0.166666667;0.746281575;0.229878816;0.378987299
17/04/2009;46018;46187;45723;45778;-1345;-1345;0;0.08174638;0.190997043;0.179083569;0.364270511;0.418101724;0.468680764;0.09266436;0.980558873;0.118534483;0.166666667;0.643874923;0.215071978;0.548222368
20/04/2009;45778;45778;44275;44433;500;454;1;0.162509642;0.153290168;0.178038828;0.250214124;0.392009528;0.419142191;0.313951732;0.942460376;0.105123087;0.333333333;0.533398172;0.318108424;0.617904361
22/04/2009;44434;45369;44434;44888;500;913;1;0.173813614;0.114773155;0.161642622;0.155679332;0.309001349;0.418591083;0.111137611;0.836340521;0.485561497;0.166666667;0.48780315;0.341612699;0.646510946
23/04/2009;44888;45804;44888;45801;500;971;1;0.185914344;0.11921817;0.124158168;0.143001544;0.212538181;0.409635762;0.000679348;0.67743935;0.996724891;0.333333333;0.604413552;0.281934666;0.583009385
24/04/2009;45801;46946;45801;46772;-952;-952;0;0.251578102;0.162293304;0.126025289;0.172646557;0.159672658;0.418892476;0.038584204;0.664069948;0.848034934;0.5;0.628632059;0.277918329;0.53969267
27/04/2009;46772;46772;45662;45820;2;2;0;0.252476589;0.163310852;0.127037913;0.158544622;0.141861285;0.416156133;0.215490485;0.944202136;0.142342342;0.166666667;0.509178032;0.347855165;0.653890921
28/04/2009;45819;46138;44966;45821;500;1402;1;0.179564257;0.160671283;0.124556139;0.120199365;0.136297357;0.393155471;0.071753144;0.698062455;0.729522184;0.166666667;0.497356749;0.359454507;0.645196509
29/04/2009;45825;47410;45825;47227;500;55;1;0.180401341;0.213571433;0.174238404;0.127205469;0.156249801;0.338875162;0.040188978;0.519632936;0.884542587;0.333333333;0.62185217;0.270183709;0.529230151
30/04/2009;47235;48126;47235;47290;500;3115;1;0.19766884;0.252528264;0.203635892;0.15896693;0.150143639;0.267167689;0.183350965;0.981180463;0.061728395;0.5;0.517116359;0.325906231;0.568448211
04/05/2009;47290;50405;47290;50405;500;266;1;0.539798273;0.435332561;0.420187008;0.35052616;0.298093376;0.342959561;0;0;1;0.666666667;0.548819541;0.309471705;0.370888458
05/05/2009;50404;50909;50013;50670;500;824;1;0.620500622;0.519323836;0.548142337;0.467932564;0.413368956;0.438441169;0.048920764;0.79018814;0.733258929;0.833333333;0.646682257;0.29232004;0.319859158
06/05/2009;50675;52096;50672;51499;500;-1441;1;0.581648775;0.606727564;0.618482476;0.574153333;0.528347967;0.543942566;0.12023247;0.740150263;0.580758427;1;0.722402308;0.216363598;0.265629479
07/05/2009;51499;52079;49743;50058;500;1330;1;0.457655973;0.607968646;0.589650216;0.605766826;0.558031647;0.571654578;0.4187348;0.89817542;0.13484589;0.166666667;0.666569191;0.336971057;0.282204462
08/05/2009;50066;51396;50051;51396;-413;-413;0;0.167537303;0.57407518;0.603870044;0.656556804;0.607335004;0.614338395;0;0.576543765;1;0.166666667;0.667090581;0.336704688;0.255159175
11/05/2009;51389;51389;50060;50976;500;-654;1;0.155415585;0.444701695;0.602013539;0.63215827;0.636943459;0.632822856;0.084029259;0.709232885;0.68924003;0.166666667;0.641810798;0.354523487;0.267265201
12/05/2009;50980;51565;49808;50326;-1638;-1638;0;0.17165955;0.333908665;0.517650068;0.580849017;0.636158861;0.647635294;0.255343689;0.833446826;0.294820717;0.333333333;0.666085004;0.370149747;0.237576993
13/05/2009;50317;50317;48430;48679;500;775;1;0.291839839;0.21192828;0.392843417;0.530478205;0.572744976;0.641777468;0.348994422;0.917229941;0.131955485;0.5;0.570953761;0.478854791;0.296325327
14/05/2009;48671;49461;48284;49446;-440;-440;0;0.311963557;0.233231195;0.312856554;0.500422019;0.511177303;0.630953384;0.003146345;0.619731342;0.987255735;0.166666667;0.587305458;0.464330543;0.323156929
15/05/2009;49447;49552;48796;49007;500;2451;1;0.264179813;0.261931037;0.215396381;0.424460607;0.463168607;0.608124143;0.115341241;0.930330947;0.279100529;0.166666667;0.621910601;0.43766424;0.309526603
18/05/2009;49012;51490;49012;51463;500;-118;1;0.316230841;0.260159473;0.23686265;0.340035459;0.460019031;0.626718966;0.005441453;0.229338293;0.989104116;0.166666667;0.620176002;0.439797809;0.371001245
19/05/2009;51465;52145;50987;51347;500;-104;1;0.375459351;0.2814114;0.24957505;0.286664671;0.403384369;0.62807558;0.161188499;0.886550393;0.310880829;0.166666667;0.552934381;0.483817477;0.396831362
20/05/2009;51349;52640;51143;51245;-1157;-1157;0;0.332066416;0.276053868;0.242248162;0.196339766;0.310197426;0.580023512;0.282337748;0.967791964;0.068136273;0.333333333;0.471326114;0.547378219;0.457851229
21/05/2009;51244;51244;49565;50087;500;479;1;0.297904619;0.267150397;0.241964419;0.198234135;0.244131483;0.514386698;0.239582214;0.831359822;0.310899345;0.5;0.499353418;0.477133305;0.439941159
22/05/2009;50089;50893;49989;50568;258;258;0;0.157172069;0.269209675;0.225832537;0.197869995;0.15301436;0.466617015;0.066658236;0.814724346;0.640486726;0.166666667;0.442119733;0.503269697;0.503785996
25/05/2009;50558;50969;50558;50816;500;1024;1;0.13426222;0.216550191;0.222798629;0.185660808;0.154120344;0.437447584;0.031227498;0.917844849;0.627737226;0.333333333;0.432328628;0.482566367;0.559704899
26/05/2009;50817;51934;50074;51841;500;-48;1;0.179945837;0.216173739;0.255640594;0.206061812;0.17231715;0.378093918;0.01860612;0.4484578;0.95;0.5;0.536631662;0.389742642;0.45650773
27/05/2009;51840;53092;51637;51792;500;1246;1;0.21128232;0.132121483;0.220288142;0.215544798;0.178758584;0.288561878;0.260331611;0.951573332;0.10652921;0.166666667;0.532583857;0.354978357;0.465713553
28/05/2009;51795;53041;51795;53041;500;151;1;0.273617699;0.216187324;0.253772238;0.273624814;0.226857667;0.265263499;0;0.619878962;1;0.166666667;0.534612715;0.35374469;0.465753123
29/05/2009;53047;53806;52432;53198;500;1284;1;0.275294091;0.27582146;0.224599238;0.3205513;0.269732531;0.224906248;0.118537158;0.767003696;0.557496361;0.333333333;0.57893269;0.354997794;0.421972888
01/06/2009;53202;54857;53202;54486;-486;-486;0;0.313475345;0.383793796;0.329828219;0.357670334;0.353228874;0.301921617;0.070621221;0.61867466;0.775830816;0.5;0.544980072;0.380554485;0.526335371
02/06/2009;54486;54955;53850;54000;-1912;-1912;0;0.288376616;0.364598013;0.371134559;0.367245195;0.393013937;0.345476191;0.183423868;0.955051721;0.135746606;0.166666667;0.517099107;0.389272872;0.544697305
03/06/2009;53999;54001;51643;52087;500;1370;1;0.256995984;0.308230647;0.362409375;0.300006934;0.345400801;0.348740586;0.381117442;0.862066679;0.188295165;0.333333333;0.536228126;0.42800394;0.516357406
